timestamp,azure_region,service_type,demand_units,capacity_allocator,cost_usd,service_availability_pct,customer_demand_urgency,sla_priority_level
2023-01-01 00:00:00,India-South,Compute,458,Auto,4466.08,99.24,Low,Mission-Critical
2023-01-01 01:00:00,Europe-North,Storage,334,Auto,2993.87,99.65,Low,Premium
2023-01-01 02:00:00,India-West,Compute,859,Auto,1007.01,99.69,High,Standard
2023-01-01 03:00:00,Europe-North,Storage,264,Manual,2384.8,97.79,Medium,Mission-Critical
2023-01-01 04:00:00,Europe-North,Compute,816,Auto,2571.42,98.32,Medium,Standard
2023-01-01 05:00:00,US-West,Storage,526,Manual,2217.82,96.75,Low,Standard
2023-01-01 06:00:00,India-West,Compute,776,Manual,1385.92,98.04,High,Mission-Critical
2023-01-01 07:00:00,India-West,Compute,587,Hybrid,2414.38,96.51,Medium,Standard
2023-01-01 08:00:00,India-West,Storage,312,Auto,2288.08,98.73,High,Mission-Critical
2023-01-01 09:00:00,Europe-North,Compute,865,Hybrid,1126.52,96.54,High,Premium
2023-01-01 10:00:00,India-South,Compute,256,Manual,4526.81,99.4,Medium,Mission-Critical
2023-01-01 11:00:00,India-West,Storage,788,Auto,4438.17,95.72,Low,Standard
2023-01-01 12:00:00,Europe-North,Compute,174,Auto,3822.12,97.86,Low,Standard
2023-01-01 13:00:00,US-West,Storage,534,Manual,2064.64,97.6,Low,Standard
2023-01-01 14:00:00,India-South,Storage,277,Auto,1914.68,96.32,High,Premium
2023-01-01 15:00:00,US-West,Compute,895,Manual,3610.68,95.14,Low,Premium
2023-01-01 16:00:00,India-South,Compute,941,Auto,3079.78,95.74,Low,Standard
2023-01-01 17:00:00,Europe-North,Compute,744,Auto,3042.93,99.84,Medium,Premium
2023-01-01 18:00:00,US-East,Storage,736,Manual,708.15,99.71,High,Mission-Critical
2023-01-01 19:00:00,India-South,Compute,411,Hybrid,3129.59,95.6,High,Mission-Critical
2023-01-01 20:00:00,US-West,Storage,931,Manual,4519.13,96.87,High,Standard
2023-01-01 21:00:00,Europe-North,Compute,226,Auto,520.5,97.33,High,Mission-Critical
2023-01-01 22:00:00,India-South,Compute,476,Manual,1761.94,97.39,High,Standard
2023-01-01 23:00:00,US-East,Storage,444,Manual,2594.17,96.49,Low,Premium
2023-01-02 00:00:00,US-East,Compute,324,Manual,3461.45,99.56,Medium,Standard
2023-01-02 01:00:00,India-West,Compute,116,Auto,539.21,99.54,High,Standard
2023-01-02 02:00:00,India-West,Compute,596,Hybrid,4376.75,95.09,Low,Premium
2023-01-02 03:00:00,US-West,Compute,572,Hybrid,298.67,98.25,Low,Premium
2023-01-02 04:00:00,India-South,Compute,964,Auto,4302.68,95.37,Medium,Mission-Critical
